edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
68;hombre;comercio;venta de comidas preparadas;centro de medellin;10;13/6/2018;4000000
40;hombre;comercio;ventas diversas;miranda;4;27/11/2018;6000000
44;hombre;produccion;confecciones;belen los alpinos;16;25/1/2018;4000000
58;hombre;comercio;tiendas - venta de alimentos;santa cruz;2;22/8/2018;2500000
65;hombre;comercio;ebanisteria;acevedo;2;25/1/2018;6000000
48;hombre;comercio;venta de comidas preparadas;castilla;5;15/6/2018;5000000
60;hombre;comercio;comercio;robledo villa sofia;7;19/10/2016;4000000
56;hombre;comercio;comercio;belencito corazon;7;14/7/2016;6500000
58;hombre;servicios;artes;altavista;70;12/6/2018;5000000
56;hombre;servicios;mantenimiento;palermo;4;19/2/2018;4000000
71;mujer;comercio;venta de comidas preparadas;versalles 2 manrique;3;26/1/2018;3000000
;hombre;comercio;ventas diversas;belen altavista;16;27/3/2017;1.48E+07
56;hombre;comercio;comercio;manrique santa cecilia;2;16/2/2016;6800000
58;hombre;comercio;venta de comidas preparadas;manrique santa cecilia;2;22/2/2018;7800000
41;hombre;comercio;comercio;centro;10;11/10/2016;2000000
43;hombre;comercio;venta de comidas preparadas;carambolas;1;23/1/2018;5000000
47;hombre;comercio;ventas diversas;altos de la torre;8;6/10/2017;5000000
;hombre;servicios;fotografia;centro;10;13/3/2017;4400000
61;hombre;servicios;fotografia;granizal;1;28/11/2018;6900000
54;hombre;comercio;venta de alimentos;robledo;7;21/9/2017;7000000
60;hombre;comercio;ventas diversas;manrique;3;9/8/2018;1000000
52;hombre;comercio;comercio;barrio colombia;14;19/12/2016;4500000
54;hombre;comercio;ventas diversas;barrio colombia;14;27/2/2019;6750000
56;hombre;comercio;ventas diversas;centro;10;14/2/2017;1500000
56;hombre;comercio;ventas diversas;centro;10;24/10/2017;2000000
58;hombre;comercio;ventas diversas;centro;10;6/2/2019;2000000
64;hombre;comercio;ventas diversas;el pinal;8;13/1/2017;7377170
63;hombre;comercio;tiendas - venta de alimentos;enciso;8;23/11/2018;5000000
53;hombre;produccion;produccion;robledo el diamante;7;17/6/2016;3000000
47;hombre;comercio;ventas diversas;popular#2;1;13/2/2017;3000000
48;hombre;comercio;ventas diversas;popular # 1;1;15/12/2017;5500000
51;hombre;comercio;venta de comidas preparadas;lopez de mesa;7;12/7/2018;3500000
71;hombre;comercio;ventas diversas;centro;10;17/5/2017;1000000
66;hombre;comercio;comercio;centro;4;14/6/2016;6890000
67;hombre;produccion;fabricacion de calzado;robledo;7;17/10/2017;7370000
56;hombre;comercio;ventas de alimentos;popular;1;11/12/2018;7800000
69;hombre;produccion;confecciones;santa cruz;1;8/6/2018;4500000
39;hombre;produccion;produccion;belen altavista;16;22/3/2016;3000000
59;hombre;comercio;comercio;centro/la candelaria;10;16/2/2016;6890000
61;hombre;comercio;ventas diversas;centro/la candelaria;10;27/3/2018;7800000
49;hombre;comercio;comercio;barrios unidos;4;14/5/2016;6890000
48;hombre;produccion;confecciones;belen san bernardo;16;19/2/2018;3000000
59;hombre;produccion;produccion;manrique;3;22/8/2016;6000000
69;hombre;comercio;ventas diversas;floresta;12;28/8/2018;2000000
62;mujer;comercio;comercio;castilla;5;22/1/2016;2000000
63;hombre;servicios;servicios;compartir;80;28/11/2016;5000000
